Day,Class,"I
 09:00 - 10:00",Unnamed: 3,Unnamed: 4,"II
 10:05 - 11:05",Unnamed: 6,Unnamed: 7,11:05 - 11:25,"III
 11:25 - 12:25",Unnamed: 10,Unnamed: 11,"IV
 12:30 - 01:30",Unnamed: 13,Unnamed: 14,"V
 01:35 - 02:35",Unnamed: 16,Unnamed: 17,"VI
 02:40 - 03:40",Unnamed: 19,Unnamed: 20,"VII
 03.40 - 04.40",Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,BCA-1D,MATHS LAB,DMK,ETCC-206,C++,HJK,ET-501,,CSA,SJK,ET-503,Lunch Break,,,,,,,,,,,,,,,,
,BCA-1E,MATHS,HPK,ET-403,C++,PRB,ET-403,,EVS,DIKSHA,ET-501,Lunch Break,,,CSA,SJK,ET-102,BMPD,PRB,ET-201,,,,,,,,
,BCA-1F,C++ Lab,SNL,MTCL-3,C++ LAB,SNL,MTCL-3,,BMPD,GVA,ET-502,EVS,DIKSHA,ET-101,Lunch Break,,,CSA,SMB,ET-202,,,,,,,,
,BCA-2A,WD,PRT,ET-402,SE,PRS,ET-402,,OS,NRN,ET-201,DBMS,CND,ET-201,,,,WD LAB,PRT,ETCC-507,SE LAB,PRS,ETCC-407,,,,,
,BCA-2B,WD,ANK,ET-401,OS,PRJ,ET-401,,DBMS LAB,NVG,HMCL,DBMS LAB,NVG,HMCL,Lunch Break,,,DBMS,NVG,ET-302,SE,GVA,ET-201,,,,,
,BCA-2C,OS LAB,SRB,PHCL,OS LAB,SRB,PHCL,,OS,PRB,ET-301,Lunch Break,,,BMPD,APK,ET-201,WD LAB,PNT,,WD,PNT,ET-101,,,,,
,BCA-2D,OS,NRN,ET-502,WD,HSK,ET-502,,DBMS,PRT,ET-203,Lunch Break,,,SE,PRK,ET-301,WD LAB,HSK,MTCL-2,WD LAB,HSK,MTCL-2,,,,,
,BCA-2E,DBMS LAB,NSA,HMCL,DBMS LAB,NSA,HMCL,,SE,PRJ,ET-202,DBMS,NRN,ET-202,Lunch Break,,,OS LAB,ANK,PHCL,OS LAB,ANK,PHCL,,,,,
,BCA-3A,ML LAB,CND,ETCC-304,ML LAB,CND,ETCC-304,,,,,ANDROID,SNK,ET-102,GP1( MERN )PRT-ETCC-304 GP 1(MOBILE DEVELOPMENT) -ISK ETCC-507 GP1 (UX/UI)-GVA- ETCC-407 LIVE PROJECT-SHK-LANG LAB,,,PLACEMENT SESSION,,,,,,,,,,
,BCA-3B,AND LAB,SNK,ETCC-507,DM LAB,PRK,ETCC-206,,ML LAB,ISK,ETCC-304,ML LAB,ISK,ETCC-304,,,,,,,,,,,,,,
,BCA-3C,ML,ISK,ET-501,AND LAB,SNT,ETCC-507,,DM LAB,JHN,ETCC-206,DM LAB,JHN,ETCC-206,,,,,,,,,,,,,,
,MCA-1,WT LAB,HMK,LANG LAB,AD JAVA,JSL,ET-302,,DAA,ANK,ET-303,WT,HMK,ET-103,Lunch Break,,,AD JAVA LAB,JSL,LANG LAB,LINUX LAB,JHN,LANG LAB,,,,,
,MCA-2,CC,SHG,ET-505,CC LAB,SHG,LANG LAB,,AWT,HSK,ET-402,MLDA,KP,LANG LAB,GP1( MERN )PRT-ETCC-304 GP 1(MOBILE DEVELOPMENT) -ISK ETCC-507 GP1 (UX/UI)-GVA- ETCC-407 LIVE PROJECT-SHK-LANG LAB,,,PLACEMENT SESSION,,,,,,,,,,
,Btech Section AI & ML,English,Rimpy,ET-101,Chemistry,NK,ET-101,,Chemistry LAB Group 1 & Workshop Group 2,,,,,,Lunch Break,,,Mathematics II,HPK,ET-101,,,,,,,,
,Btech Section A,BEE,TNT,ET-102,Mathematics II,PK,ET-102,,Physics,FZ,ET-102,Lunch Break,,,BEE Lab G2 TNT,,,,,,,,,,,,,
,Btech Section B,Physics,FZ,ET-103,BEE,TNT,ET-103,,EGD(SKC/Arif),,,,,,Lunch Break,,,Physics Lab G1 FZ,,,,,,,,,,
,Btech Section C,Chemistry,NK,ET-201,Maths I,PK,ET-102,,English,Tulika,ET-103,Lunch Break,,,PPS,,ET-103,Workshop Group-2,,,,,,,,,,
